,state_code,state,district,sero_0,N_0,sero_1,N_1,sero_2,N_2,sero_3,N_3,sero_4,N_4,sero_5,N_5,sero_6,N_6,N_tot,Rt,Rt_upper,Rt_lower,S0,I0,R0,D0,dT0,dD0,V0
0,AN,Andaman And Nicobar Islands,Andaman And Nicobar Islands,0.2959810111165462,102217.0,0.29873680375291795,83535.0,0.3107378404813579,61742.0,0.31382849679645275,45331.0,0.31710700351786614,27818.0,0.2717389571706466,14908.0,0.24919277659801678,7866.0,343417.0,2.26688489375388,2.595081076942567,1.9323230294224183,215179.1194368879,0.0,132027.4176235475,31,674.4103574608544,0,60898.0
1,AP,Andhra Pradesh,Anantapur,0.2840964,1274486.0,0.2840964,914910.0,0.29881144,627017.0,0.29671192,477548.0,0.30027965,322008.0,0.26028147,273135.0,0.24338236,144469.0,4033573.0,2.0546723251144225,2.1701126001549094,1.9384542550830044,2750625.587065922,0.0,1286606.9785264495,502,4891.1035558606045,1,377711.7160591891
2,AP,Andhra Pradesh,Chittoor,0.286624,1249335.0,0.286624,898844.0,0.30078167,639503.0,0.2987263,519550.0,0.30114242,355649.0,0.26052895,285457.0,0.24237908,166324.0,4114662.0,1.8274952400930695,1.8973313464116386,1.7573752399234297,2589205.532463588,22460.96716077742,1502225.5003756348,770,13778.478473519843,4,385305.04964792635
3,AP,Andhra Pradesh,East Godavari,0.2805597,1521656.0,0.2805597,1202672.0,0.29669914,819784.0,0.29457963,659170.0,0.29823944,424862.0,0.25849786,353120.0,0.24249629999999997,170140.0,5151404.0,2.612580583305398,3.409800841380752,1.776728316269317,3491984.9315613033,0.0,1709219.797887272,552,6281.491022954228,0,482387.61141900026
4,AP,Andhra Pradesh,Guntur,0.29049543,1449206.0,0.29049543,1134256.0,0.30373296,758979.0,0.30278313,612832.0,0.30653742,412365.0,0.26620534,321671.0,0.24538939999999998,194426.0,4883735.0,1.7696154033973523,1.8815498878538763,1.6569497977317906,3009221.367416935,0.0,1901693.625127592,548,15013.725164857951,0,457322.55933593464
5,AP,Andhra Pradesh,Krishna,0.29790172,1305592.0,0.29790172,1035351.0,0.30940609999999996,706637.0,0.30993909999999997,577993.0,0.31452199999999997,371302.0,0.27134922,291998.0,0.25075188,170659.0,4459532.0,1.651203127770447,1.757834821405185,1.5439081496848337,2476831.2130482085,0.0,2041202.845147882,539,11900.699722844454,2,417599.3553459595
6,AP,Andhra Pradesh,Kurnool,0.28449497,1433736.0,0.28449497,934948.0,0.29943117,607224.0,0.29721904,446394.0,0.30110556,282976.0,0.26154083,215845.0,0.244376,110206.0,4031329.0,2.515139823904524,2.971753471716138,2.046110080594804,2768528.7299679816,32971.33294542739,1229434.937086591,394,8868.365216346172,1,377501.5834817356
7,AP,Andhra Pradesh,Prakasam,0.27425018,1070816.0,0.27425018,761879.0,0.2920703,514522.0,0.28814596,402869.0,0.29081273,277310.0,0.2530638,231202.0,0.23676081,133195.0,3391793.0,2.163703236217642,2.755849138500212,1.550506688582513,2340120.7537977826,0.0,1066373.0378043896,509,4912.683965244699,0,317614.1734753642
8,AP,Andhra Pradesh,S.P.S. Nellore,0.28367445,908175.0,0.28367445,666538.0,0.29914159999999995,466369.0,0.29747668,374079.0,0.30142406,248797.0,0.2613213,195040.0,0.24397038,100185.0,2959183.0,2.654696009362886,2.8391860932263686,2.468211350176779,2001843.3114955728,25182.600199774955,931718.0883046521,439,5845.023940695006,2,277103.7214556869
9,AP,Andhra Pradesh,Srikakulam,0.27057055,834057.0,0.27057055,589062.0,0.28930488,412445.0,0.28397325,334940.0,0.28652936,225841.0,0.24888937,207898.0,0.23518017,94997.0,2699240.0,2.791798939027772,2.9204117112579104,2.662219998729131,1846762.7097198907,26223.612549601356,825977.6777305078,276,9805.277060652037,0,252762.1472217326
